word,num,Geschlecht
Arno,2264,männl.
Nikolaus,2256,männl.
Thilo,2218,männl.
Diana,2212,weibl.
Britta,2211,weibl.
Gert,2190,männl.
Marianne,2187,weibl.
Berthold,2181,männl.
Murat,2172,männl.
Ludger,2163,männl.
Knut,2127,männl.
Alfons,2116,männl.
Detlev,2104,männl.
Philip,2103,männl.
Gudrun,2080,weibl.
Enrico,2070,männl.
Roger,2066,männl.
Peter Heinz,2054,männl.
Denis,2048,männl.
Rita,2027,weibl.
Sigrid,2015,weibl.
Harry,2008,männl.
Jakob,1993,männl.
Bastian,1974,männl.
Heiner,1969,männl.
Alois,1967,männl.
Falk,1945,männl.
Tino,1938,männl.
Igor,1925,männl.
Adrian,1908,männl.
Hubertus,1898,männl.
Jana,1898,weibl.
Fred,1889,männl.
Ahmet,1888,männl.
John,1878,männl.
Albrecht,1875,männl.
Gernot,1866,männl.
Erhard,1863,männl.
Carmen,1860,weibl.
Kirsten,1848,weibl.
Ferdinand,1848,männl.
Bärbel,1811,weibl.
Pascal,1808,männl.
Theodor,1806,männl.
Gunter,1794,männl.
Anita,1786,weibl.
Nicolas,1781,männl.
Henry,1769,männl.
Hans-Jörg,1765,männl.
Helge,1764,männl.
Marina,1757,weibl.
Hans Peter,1750,männl.
Nina,1749,weibl.
Kevin,1748,männl.
Hans-Werner,1747,männl.
Steffen Kurt,1734,männl.
Artur,1726,männl.
Adolf,1724,männl.
Hannelore,1712,weibl.
Ole,1710,männl.
Tom,1709,männl.
Anne,1707,weibl.
Roberto,1700,männl.
Raimund,1696,männl.
Till,1678,männl.
Konstantin,1675,männl.
Benedikt,1658,männl.
Antonio,1619,männl.
Norman,1617,männl.
Gerrit,1613,männl.
Hasan,1598,männl.
Nicole Geborene Liebera,1591,männl.
Ewald,1566,männl.
Ibrahim,1565,männl.
Malte,1554,männl.
Verena,1548,weibl.
Hildegard,1543,weibl.
Bianca,1539,weibl.
Ilona,1525,weibl.
Sabrina,1519,weibl.
Gunther,1491,männl.
Ingeborg,1488,weibl.
Niels,1484,männl.
Inge,1481,weibl.
Arnold,1473,männl.
Elena,1463,männl.
Franziska,1463,weibl.
Marius,1462,männl.
Jennifer,1462,weibl.
Lukas,1459,männl.
Hüseyin,1451,männl.
Egon,1440,männl.
Corinna,1430,weibl.
Hannes,1423,männl.
Olga,1416,weibl.
Arnd,1404,männl.
Theo,1386,männl.
Ina,1383,weibl.
Irina,1379,männl.
Hakan,1372,männl.
Christel,1369,weibl.
Heidemarie,1356,weibl.
Robin,1348,männl.
Vladimir,1346,männl.
Götz,1345,männl.
Pierre,1342,männl.
Hans-Ulrich,1338,männl.
Ivan,1338,männl.
Ruth,1331,weibl.
Sergej,1328,männl.
Rosemarie,1325,weibl.
Steffi,1310,weibl.
Rene,1305,männl.
Sarah,1304,weibl.
Tilo,1303,männl.
Sören,1302,männl.
Judith,1293,weibl.
Jonas,1281,männl.
Margit,1268,weibl.
Irene,1266,weibl.
Ellen,1264,weibl.
Karl Heinz,1262,männl.
Gottfried,1260,männl.
Heribert,1257,männl.
Patricia,1255,weibl.
Johanna,1245,weibl.
Heidi,1244,weibl.
Klaus Dieter,1237,männl.
Arndt,1224,männl.
Vera,1223,weibl.
Irmgard,1223,weibl.
Waltraud,1222,weibl.
Adam,1222,männl.
Ismail,1210,männl.
Roswitha,1186,weibl.
Eva-Maria,1183,männl.
Veronika,1176,weibl.
Franz Josef,1176,männl.
Heidrun,1174,weibl.
Hans Jürgen,1172,männl.
Philippe,1171,männl.
Volkmar,1161,männl.
Edith,1157,weibl.
Lorenz,1151,männl.
Kai-Uwe,1148,männl.
Kristina,1140,weibl.
Jessica,1138,weibl.
Tina,1136,weibl.
Hagen,1132,männl.
Bert,1131,männl.
Uta,1128,weibl.
Michel,1127,männl.
Ansgar,1106,männl.
Steven,1102,männl.
Gertrud,1101,weibl.
Annett,1095,weibl.
Hauke,1094,männl.
Klaus Peter,1093,männl.
Constantin,1092,männl.
Carolin,1090,weibl.
Sönke,1079,männl.
Giuseppe,1079,männl.
Tatjana,1078,männl.
Hans Joachim,1078,männl.
Torben,1076,männl.
Ingolf,1076,männl.
Nicola,1074,weibl.
Andrew,1071,männl.
Oleg,1069,männl.
Arthur,1066,männl.
Francesco,1060,männl.
Silvio,1040,männl.
Margarete,1036,weibl.
Georgios,1033,männl.
Giovanni,1030,männl.
Edwin,1027,männl.
Gerold,1024,männl.
Bernd J.J,1020,männl.
Maren,1016,weibl.
Hartwig,1004,männl.
Edmund,996,männl.
Heinz-Jürgen,987,männl.
Dorothea,985,weibl.
Anette,985,weibl.
Rudi,983,männl.
Ramona,982,weibl.
Evelyn,970,weibl.
Benno,958,männl.
Annegret,957,weibl.
Jacqueline,956,weibl.
Jasmin,952,weibl.
Leonhard,952,männl.
Natalia,945,männl.
Pia,939,weibl.
Hella,938,weibl.
Dierk,936,männl.
Sergey,936,männl.
Raphael,935,männl.
Niklas,930,männl.
Marek,925,männl.
Dominic,919,männl.
Bülent,916,männl.
Miriam,914,weibl.
Janine,913,weibl.
Doreen,908,weibl.
Rico,905,männl.
Hansjörg,899,männl.
Metin,896,männl.
Kristin,893,weibl.
Annemarie,891,weibl.
Leo,889,männl.
Andy,888,männl.
Randi Mette,886,männl.
Beatrix,884,weibl.
Hanno,883,männl.
Ekkehard,880,männl.
Yusuf,877,männl.
Emil,877,männl.
Caroline,876,weibl.
Mohamed,876,männl.
Anneliese,874,weibl.
Natalie,873,weibl.
Gabriela,872,weibl.
Bertram,870,männl.
Ivonne,866,weibl.
Fatih,859,männl.
Marita,854,weibl.
Heinz-Dieter,853,männl.
Juliane,847,weibl.
Joseph,847,männl.
Carlo,847,männl.
Frederik,842,männl.
Valentin,842,männl.
Heino,840,männl.
Mandy,834,weibl.
Vanessa,832,weibl.
Marlies,832,weibl.
Andrej,830,männl.
Bernard,829,männl.
Ömer,822,männl.
Rafael,814,männl.
Rupert,810,männl.
Sandro,810,männl.
Hans-Günter,809,männl.
Elfriede,809,weibl.
Wolf,809,männl.
Alex,807,männl.
Hermann-Josef,804,männl.
Gustav,801,männl.
Gerda,800,weibl.
Birger,799,männl.
Helmuth,796,männl.
Hans-Josef,796,männl.
Olivier,796,männl.
Marc-Oliver,795,männl.
Bernd J. J,794,männl.
Heinz-Peter,790,männl.
Christophe,789,männl.
Eike,786,männl.
Friedrich Wilhelm,785,männl.
Willy,782,männl.
Cornelius,778,männl.
Meike,777,weibl.
Jonathan,772,männl.
Konstantinos,768,männl.
Osman,755,männl.
Sibylle,753,weibl.
Hugo,745,männl.
Erkan,741,männl.
Susann,739,weibl.
Laura,737,weibl.
Gerlinde,736,weibl.
Nikolaos,735,männl.
Dimitrios,733,männl.
Steve,731,männl.
Timm,730,männl.
Karen,728,weibl.
Salvatore,728,männl.
Carl,727,männl.
Zoran,725,männl.
Lydia,724,weibl.
Lisa,721,weibl.
Klemens,720,männl.
Elvira,717,weibl.
Felix Ernst,714,männl.
Klaus-Jürgen,713,männl.
Hans-Hermann,713,männl.
Vincent,711,männl.
James,709,männl.
Danny,709,männl.
Nikolai,708,männl.
Orhan,707,männl.
Pavel,705,männl.
Piotr,704,männl.
Egbert,704,männl.
Ilse,704,weibl.
Amir,703,männl.
Wolf-Dieter,702,männl.
Gordon,700,männl.
Alessandro,697,männl.
Chris,696,männl.
Swen,695,männl.
Deniz,695,männl.
Sitta,694,männl.
Patrik,692,männl.
Nadja,692,weibl.
Friederike,691,weibl.
Esther,691,weibl.
Engelbert,690,männl.
Mohammad,690,männl.
Peer,689,männl.
Ronald Hans,687,männl.
Ullrich,686,männl.
Kemal,685,männl.
Oskar,682,männl.
Falko,681,männl.
Dominique,680,männl.
Frauke,679,weibl.
Stephen,679,männl.
Angelo,675,männl.
Friedrich-Wilhelm,674,männl.
Eckart,674,männl.
Gisbert,674,männl.
Jens-Peter,671,männl.
Agnes,668,weibl.
Goran,666,männl.
Yves,665,männl.
Ayhan,664,männl.
Margret,664,weibl.
Sybille,663,weibl.
Ioannis,663,männl.
Gabriel,662,männl.
Jens-Uwe,660,männl.
Helene,660,weibl.
Ivo,659,männl.
Marian,656,männl.
Denise,655,weibl.
Nicolai,655,männl.
Cengiz,649,männl.
Isabel,648,weibl.
Serkan,648,männl.
Kim,645,männl.
Adnan,644,männl.
Hilmar,643,männl.
Kristian,642,männl.
Hans-Martin,642,männl.
Sina,639,weibl.
Susan,639,weibl.
Antonius,635,männl.
Paolo,634,männl.
Toni,633,männl.
Maike,633,weibl.
Andrey,631,männl.
Abdullah,630,männl.
Dorothee,629,weibl.
Regine,629,weibl.
Michele,628,männl.
Gero,627,männl.
Roy,626,männl.
Claudio,625,männl.
Hans Georg,622,männl.
Tomasz,621,männl.
Franco,617,männl.
Laurent,615,männl.
Alain,614,männl.
Adelheid,613,weibl.
Victor,610,männl.
Claus-Peter,609,männl.
Charles,609,männl.
Margot,608,weibl.
Carina,607,weibl.
Hans-Bernd,606,männl.
Hans-Heinrich,606,männl.
Kornelia,605,weibl.
Andree,603,männl.
Hans Dieter,600,männl.
Dimitri,599,männl.
Ottmar,598,männl.
Ahmad,598,männl.
Gökhan,598,männl.
Linda,597,weibl.
Julius,596,männl.
Magnus,591,männl.
Tomas,591,männl.
Magdalena,590,weibl.
Constanze,586,weibl.
Karl-Josef,586,männl.
Hans-Jochen,586,männl.
Hans-Christian,584,männl.
Mirco,578,männl.
Franz Xaver,578,männl.
Viola,577,weibl.
Milan,577,männl.
Svetlana,575,männl.
Natascha,575,weibl.
Jenny,575,weibl.
Erdal,574,männl.
Dragan,572,männl.
Erol,572,männl.
Veit,571,männl.
Attila,570,männl.
Ramazan,568,männl.
Serdar,563,männl.
Otmar,562,männl.
Stefano,561,männl.
Inga,560,weibl.
Halil,555,männl.
Ugur,553,männl.
Eva Maria,552,männl.
Yilmaz,552,männl.
Urs,551,männl.
Swend,550,männl.
Jost,546,männl.
Sieglinde,546,weibl.
Adem,545,männl.
Peggy,545,weibl.
Hermann Josef,542,männl.
Tilman,542,männl.
Ahmed,542,männl.
Krzysztof,541,männl.
Saskia,538,weibl.
Marvin,538,männl.
Ümit,536,männl.
Karim,533,männl.
Ralf Paul,533,männl.
Kenan,532,männl.
Maxim,527,männl.
Brian,526,männl.
Raanan,524,männl.
Luigi,524,männl.
Lena,521,weibl.
Grit,521,weibl.
Ingmar,520,männl.
Beatrice,518,weibl.
Jacob,518,männl.
Vincenzo,517,männl.
Oswald,517,männl.
Samir,516,männl.
Pawel,515,männl.
Ercan,514,männl.
Wiebke,510,weibl.
Kilian,506,männl.
Carlos,505,männl.
Rolf-Dieter,504,männl.
Kalliopi,504,männl.
Charlotte,503,weibl.
Willibald,501,männl.
Reimund,500,männl.
Sinan,495,männl.
Wei,493,männl.
August,492,männl.
Tamara,492,männl.
Sami,492,männl.
Francois,491,männl.
Patric,491,männl.
Mechthild,490,weibl.
Annika,489,weibl.
Siegbert,488,männl.
Massimo,488,männl.
Ilka,487,weibl.
Edeltraud,487,weibl.
Karina,486,weibl.
Alwin,483,männl.
William,481,männl.
Rebecca,481,weibl.
Hans Werner,480,männl.
Aleksandar,480,männl.
Samuel,479,männl.
Aydin,479,männl.
Anders,479,männl.
Claas,478,männl.
Hardy,478,männl.
Süleyman,478,männl.
Jean,477,männl.
Christin,477,weibl.
Emanuel,476,männl.
Enno,476,männl.
Hans-Gerd,473,männl.
Alan,472,männl.
Anthony,472,männl.
Maurice,472,männl.
Anett,470,weibl.
Nicholas,470,männl.
Mikhail,466,männl.
Leonid,463,männl.
Siegmar,461,männl.
Horst Gerhard,461,männl.
Zeljko,460,männl.
Luca,459,männl.
Leopold,458,männl.
Vitali,457,männl.
Heimo,457,männl.
Ariane,457,weibl.
Vadim,457,männl.
Claudius,456,männl.
Cord,454,männl.
Andrzej,452,männl.
Karola,451,weibl.
Ursula Anna,451,männl.
Miroslav,450,männl.
Jeannette,449,weibl.
Marcin,448,männl.
Frederic,447,männl.
Kathleen,447,weibl.
Liane,447,weibl.
Janina,446,weibl.
Cordula,445,weibl.
Gilbert,444,männl.
Mahmut,444,männl.
Thierry,443,männl.
Jeanette,442,weibl.
Svenja,440,weibl.
Dmitry,437,männl.
Wulf,433,männl.
Hassan,433,männl.
Christos,431,männl.
Insa,430,männl.
Corina,430,weibl.
Thies,429,männl.
Niko,429,männl.
Viktoria,429,weibl.
Fabio,427,männl.
Dörte,427,weibl.
Frieder,426,männl.
Kadir,426,männl.
Ricardo,425,männl.
Henri,425,männl.
Juri,423,männl.
Guy,421,männl.
Willem,419,männl.
Phillip,418,männl.
Hanna,418,weibl.
Marlene,418,weibl.
Heinz-Josef,418,männl.
Alberto,417,männl.
Damir,416,männl.
Ian,413,männl.
Michal,413,männl.
Alexey,413,männl.
Marie-Luise,412,männl.
Nick,412,männl.
Frank-Michael,411,männl.
Levent,411,männl.
Maurizio,410,männl.
Tilmann,409,männl.
Gertraud,409,weibl.
Jacek,408,männl.
Hedwig,406,weibl.
Hinrich,404,männl.
Engin,404,männl.
Friedemann,404,männl.
Cem,404,männl.
Brigitta,402,weibl.
Fatma,402,männl.
Catrin,401,weibl.
Tatiana,399,männl.
Leif,399,männl.
Darius,399,männl.
Anna Maria,398,männl.
Stavros,398,männl.
Nathalie,397,weibl.
Arnt,397,männl.
Jan Hendrik,397,männl.
Lucas,396,männl.
Emmanuel,396,männl.
Claus-Dieter,395,männl.
Özgür,395,männl.
Damian,394,männl.
Raymond,393,männl.
Monique,393,weibl.
Gebhard,393,männl.
Jacques,393,männl.
Gaby,392,weibl.
Tarik,392,männl.
Nancy,391,weibl.
Dana,390,weibl.
Wladimir,390,männl.
Erhan,390,männl.
Heide,390,weibl.
Dan,389,männl.
Herwig,389,männl.
Stanislav,388,männl.
Larissa,388,weibl.
Volkan,388,männl.
Thomas Michael,387,männl.
Bilal,386,männl.
Jan-Peter,386,männl.
Oktay,385,männl.
Tibor,385,männl.
Frank Michael,385,männl.
Rouven,384,männl.
Wieland,383,männl.
Mesut,382,männl.
Ruslan,380,männl.
Meinolf,379,männl.
Mareike,379,weibl.
Anselm,377,männl.
Karl-Friedrich,377,männl.
Dario,377,männl.
Hans-Otto,376,männl.
Johan,376,männl.
Michael Peter,376,männl.
Kersten,376,männl.
Hans-Günther,375,männl.
Jan-Christoph,375,männl.
Lieselotte,375,weibl.
Hans-Volkert,375,männl.
Isabell,374,weibl.
Athanasios,374,männl.
Per,372,männl.
Hanspeter,372,männl.
Can,372,männl.
Ben,372,männl.
Antonia,371,weibl.
Friedel,370,männl.
Nikolas,370,männl.
Edward,369,männl.
Isabella,367,weibl.
Yasin,367,männl.
Nikola,364,weibl.
Jan-Hendrik,363,männl.
Frédéric,363,männl.
Yasar,362,männl.
Danilo,362,männl.
Sylke,361,weibl.
Uli,360,männl.
Helena,359,weibl.
Panagiotis,359,männl.
Sigurd,356,männl.
Andrei,354,männl.
Karl Josef,354,männl.
Peter Michael,354,männl.
Klaus Jürgen,353,männl.
Eckard,352,männl.
Hans Ulrich,352,männl.
Nikolay,351,männl.
Kamil,350,männl.
Tomislav,350,männl.
Wolf-Rüdiger,350,männl.
Tony,350,männl.
Rabin,349,männl.
George,348,männl.
Joanna,348,männl.
Mona,348,weibl.
Oleksandr,347,männl.
Senol,346,männl.
Nihat,345,männl.
Hans-Michael,345,männl.
Dariusz,345,männl.
Dejan,345,männl.
Mohammed,344,männl.
Jun,344,männl.
Sasa,343,männl.
Tillmann,343,männl.
Baris,343,männl.
Ilja,342,männl.
Sedat,342,männl.
Ivica,342,männl.
Birgitt,341,weibl.
Eveline,339,weibl.
Siegmund,339,männl.
Luise,338,weibl.
Gregory,338,männl.
Berndt,337,männl.
Irfan,337,männl.
Tolga,336,männl.
Marten,336,männl.
Domenico,333,männl.
Grzegorz,333,männl.
Justus,333,männl.
Hans Josef,331,männl.
Heinz-Werner,331,männl.
Cemal,330,männl.
Lennart,329,männl.
Ilhan,329,männl.
Dino,329,männl.
Ayse,328,männl.
Pietro,327,männl.
Daniele,326,weibl.
Hans-Wilhelm,325,männl.
Carla,324,weibl.
Rocco,322,männl.
Jürgen F,321,männl.
Alice,321,weibl.
Yasemin,321,männl.
Mirjam,321,weibl.
Alf,321,männl.
Isabelle,320,weibl.
Meik,320,männl.
Kai Uwe,320,männl.
Conrad,319,männl.
Alexander Christian,319,männl.
Olav,318,männl.
Xaver,318,männl.
Birte,317,weibl.
Timur,316,männl.
Ismet,316,männl.
Özcan,316,männl.
Raik,316,männl.
Cathrin,315,weibl.
Filippo,315,männl.
Gabor,313,männl.
Peter Paul,312,männl.
Henner,312,männl.
Edda,312,weibl.
Selim,312,männl.
Imke,311,weibl.
Jean-Pierre,310,männl.
Brunhilde,310,weibl.
Said,309,männl.
Faruk,309,männl.
Romy,309,weibl.
Victoria,308,männl.
Jaroslaw,308,männl.
Reza,308,männl.
Ferhat,308,männl.
Adalbert,307,männl.
Hiroshi,306,männl.
Heinz-Joachim,306,männl.
Sven-Christian,306,männl.
Horst-Dieter,305,männl.
Isolde,305,weibl.
Morten,305,männl.
Nora,305,weibl.
Emine,305,männl.
Jochem,303,männl.
Hans-Walter,302,männl.
Hans Jörg,302,männl.
Jens Peter,301,männl.
Thorben,300,männl.
Salih,300,männl.
Janet,300,weibl.
Sophie,298,weibl.
Zafer,298,männl.
Hatice,297,männl.
Tamer,297,männl.
Alina,296,weibl.
Rudolf Wolfgang,296,männl.
Sergio,296,männl.
Selcuk,295,männl.
Enver,295,männl.
Mehdi,293,männl.
Petar,293,männl.
Darko,293,männl.
Helen,293,männl.
Birmingham,292,männl.
Burghard,291,männl.
Heinz Dieter,291,männl.
Martha,291,weibl.
Isa,291,weibl.
Aziz,291,männl.
Denny,291,männl.
Claudia Beate,290,männl.
Ortwin,290,männl.
Leonard,289,männl.
Kirstin,288,weibl.
Petr,288,männl.
Sahin,288,männl.
Fikret,287,männl.
Mariusz,287,männl.
Gesa,286,männl.
Ron,285,männl.
Elias,285,männl.
Andrè,285,männl.
Hamid,285,männl.
Cetin,285,männl.
Cihan,285,männl.
Jesper,284,männl.
Eckehard,284,männl.
Peter Josef,284,männl.
Musa,283,männl.
Harm,283,männl.
Josip,283,männl.
Leon,282,männl.
Anika,282,weibl.
Klaudia,281,weibl.
Fernando,280,männl.
Anastasia,280,männl.
Bekim,280,männl.
Wojciech,279,männl.
Karla,279,weibl.
Reinhardt,279,männl.
Jan Philipp,277,männl.
Margrit,276,weibl.
Ekrem,276,männl.
Jeroen,275,männl.
Marlis,275,weibl.
Jan Peter,275,männl.
Anna-Maria,274,männl.
Rosa,274,weibl.
Recep,273,männl.
Li,272,männl.
Evgeny,272,männl.
Pieter,272,männl.
Michail,271,männl.
Vladislav,271,männl.
Valentina,271,weibl.
Bernward,270,männl.
Henryk,269,männl.
Onur,269,männl.
Utz,269,männl.
Taner,269,männl.
Ramon,268,männl.
Ramin,268,männl.
Riccardo,268,männl.
Gerard,267,männl.
Heinz-Günter,267,männl.
Sara,267,weibl.
Gary,266,männl.
Mahmoud,266,männl.
Hans Christian,266,männl.
Alexej,266,männl.
Franc,266,männl.
Sigrun,265,weibl.
Harun,265,männl.
Keith,265,männl.
Juan,264,männl.
Evelin,264,weibl.
Vedat,263,männl.
Gereon,263,männl.
Giorgio,263,männl.
Thomas Peter,263,männl.
Ante,263,männl.
Theresia,263,weibl.
Jerome,262,männl.
Hans Günter,262,männl.
Inna,262,männl.
Toralf,262,männl.
Miguel,262,männl.
Pamela,261,männl.
Yan,260,männl.
Marc Oliver,260,männl.
Kenneth,260,männl.
Pedro,260,männl.
Holm,259,männl.
Edin,259,männl.
Bianka,258,weibl.
Özkan,258,männl.
Zoltan,258,männl.
Zeki,257,männl.
Colin,256,männl.
Serge,256,männl.
Andreas Michael,255,männl.
Madeleine,255,weibl.
Antje Geborene Merz,255,männl.
Maciej,254,männl.
Yury,254,männl.
Galina,254,männl.
Laszlo,254,männl.
Ricarda,254,weibl.
Burhan,253,männl.
Dorit,252,weibl.
Heinz Peter,252,männl.
Burak,252,männl.
Felicitas,251,weibl.
Ufuk,251,männl.
Sabina,251,männl.
Alireza,250,männl.
Aleksandr,250,männl.
Karoline,250,weibl.
Bernadette,250,weibl.
Nenad,250,männl.
Arif,250,männl.
Yüksel,250,männl.
Marinela,249,männl.
Stéphane,249,männl.
Agnieszka,249,männl.
Harro,249,männl.
Claude,248,männl.
York,248,männl.
Katarzyna,248,männl.
Janos,248,männl.
Alexandre,247,männl.
Mohamad,247,männl.
Malgorzata,247,männl.
Khaled,247,männl.
Matthew,247,männl.
Alen,247,männl.
Klaas,246,männl.
Bogdan,246,männl.
Lukasz,246,männl.
Walther,246,männl.
Sandy,246,weibl.
Tobias Emanuel,246,männl.
Lucia,246,weibl.
Stanislaw,245,männl.
Karl-Peter,245,männl.
Eldad,244,männl.
Atilla,244,männl.
Emrah,243,männl.
Ekaterina,243,männl.
Benedict,242,männl.
Mehmet Ali,242,männl.
Berit,242,weibl.
Erdogan,241,männl.
Horst Paul Wilhelm,241,männl.
Guntram,241,männl.
Thoralf,241,männl.
Christopher John,241,männl.
Hülya,241,männl.
Alexandros,241,männl.
Maja,240,weibl.
Haydar,240,männl.
Miroslaw,240,männl.
Wolf-Dietrich,240,männl.
Özlem,239,männl.
Tuncay,238,männl.
José,238,männl.
Yavuz,238,männl.
Susanna,237,weibl.
Ruben,237,männl.
Hans-Henning,237,männl.
